size,time,connectivity,t_bqm,t_sim,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,sim_sol,quant_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,total_chain_num,total_chain_length,problem_id,t_quant,t_quant_2000,quant_sol_2000,qubits_2000,max_chain_2000,qpu_sampling_time_2000,qpu_anneal_time_per_sample_2000,qpu_readout_time_per_sample_2000,qpu_access_time_2000,qpu_access_overhead_time_2000,qpu_programming_time_2000,qpu_delay_time_per_sample_2000,post_processing_overhead_time_2000,total_post_processing_time_2000,total_chain_num_2000,total_chain_length_2000,,problem_id_2000
2,1,0.285714285714286,0.130393505096436,0.031872987747192,0.000267267227173,0.000359773635864,0.000352621078491,5.98430633544922E-05,0.129274606704712,2.19345092773437E-05,-3.90798504668055E-14,-3.90798504668055E-14,8,8,0,8,1,77240,20,36,94322,31852,17082,21,3630,3630,0,0,a691d7c7-9aaa-4e76-80e5-de3ca4574040,0.030482530593872,0.008918285369873,0,8,1,238940,20,198,249688,1584,10747,21,949,949,0,0,,5b93a945-7c9f-4089-ba66-27489fbe5145
3,1,0.137254901960784,0.114913940429688,0.06168270111084,0.000567674636841,0.001612186431885,0.002076387405396,0.000311851501465,0.110227346420288,2.50339508056641E-05,-4.61852778244065E-14,-4.61852778244065E-14,18,18,0,18,1,87720,20,47,104801,11738,17081,21,213,523,0,0,06c2be28-c20b-463c-a251-0b0dd7e15c51,0.042241811752319,0.013258695602417,0,24,2,238940,20,198,249735,1282,10795,21,369,369,12,12,,272c7a29-17ba-48bc-b177-a299280b90da
4,1,0.080645161290323,0.221316814422607,0.105079174041748,0.001001119613647,0.004788160324097,0.00667667388916,0.001061201095581,0.207641363143921,2.86102294921875E-05,-2.8421709430404E-13,-2.91322521661641E-13,32,32,0,33,2,95000,20,54,112077,11718,17077,21,548,1176,31,31,743448a3-e2fd-4dce-9f26-b11a4ee53c16,0.061893939971924,0.029637575149536,0,47,3,238940,20,198,249803,2116,10863,21,424,424,31,44,,da947b55-f73c-4546-988d-83e2f214ecd7
5,1,0.053061224489796,0.372632265090942,0.161694049835205,0.001673460006714,0.011474370956421,0.016730785369873,0.002732753753662,0.33978009223938,3.64780426025391E-05,-5.11590769747272E-13,-4.83169060316868E-13,50,50,0,54,2,91080,20,50,108159,107801,17079,21,224,7126,46,46,9c72ba37-cd94-4603-9f29-bc4bd7a1c5b0,0.080891609191895,0.052176713943482,0,85,3,238940,20,198,249879,2302,10939,21,2294,2294,44,67,,85ec0d80-c496-4bc6-ace6-da59572eabe7
6,1,0.037558685446009,0.582776784896851,0.2261962890625,0.002996444702148,0.022074699401856,0.034886360168457,0.005962610244751,0.516295909881592,5.19752502441406E-05,-7.38964445190504E-13,-7.67386154620908E-13,72,72,0,80,2,101940,20,61,119021,12075,17081,21,230,1737,64,64,4d8ffc1c-3b4e-4fbe-a3ff-f104a5fc495d,0.132455348968506,0.097240924835205,0,121,3,238940,20,198,249968,2677,11028,21,2640,2640,64,97,,9aa42027-5810-46a5-9e5e-78f889ea16fd
7,1,0.027982326951399,0.963070869445801,0.313785076141357,0.005269289016724,0.039672136306763,0.177019834518433,0.011792421340942,0.72838568687439,5.86509704589844E-05,-1.05160324892495E-12,-1.06581410364015E-12,98,98,0,107,2,113300,20,72,130376,12250,17076,21,204,2295,89,89,8763d7e0-488d-4812-9dc9-ced5320c1a7a,0.169384956359863,0.195826053619385,0,186,5,238940,20,198,250074,2988,11133,21,1222,1222,95,171,,43bd0b9d-a416-40c9-86a7-fcdfbb45d033
8,1,0.021653543307087,1.2319598197937,0.406180620193481,0.010357141494751,0.068249702453613,0.11476731300354,0.01926589012146,1.01771378517151,7.96318054199219E-05,-1.25055521493778E-12,-1.33582034322899E-12,128,128,0,145,2,118980,20,78,136051,12586,17071,21,313,7083,111,111,5bfa927b-78c5-4fd9-85f5-12fadd90f1a4,0.323297262191772,0.360609292984009,0,268,5,238940,20,198,250157,3712,11217,21,792,792,126,258,,2c61705d-ab20-48ea-9441-444a2862a44d
9,1,0.017253278122843,1.68076109886169,0.502628087997437,0.021746635437012,0.106005430221558,0.185559988021851,0.032661199569702,1.3325686454773,8.36849212646484E-05,-1.53477230924182E-12,-1.59161572810262E-12,162,162,0,196,3,102260,20,61,119321,12905,17061,21,132,1891,160,190,f50d5028-652e-4731-a3db-098f605395c0,0.954182147979736,0.333364963531494,0,335,5,238940,20,198,250270,5344,11330,21,349,3423,161,330,,95547e66-e503-4ab8-80d1-f501ef62f719
10,1,0.014070351758794,2.36269187927246,0.632040023803711,0.04934024810791,0.160739421844482,0.449048280715942,0.048584938049316,1.65149021148682,9.27448272705078E-05,-1.81898940354586E-12,-1.93267624126747E-12,200,200,0,231,2,131420,20,90,148491,14080,17071,21,221,8418,169,169,dadb0812-d9f9-4375-a3cb-cd6fca38cc20,0.37095308303833,1.90379810333252,0,506,9,238940,20,198,250349,5725,11409,21,422,1706,198,488,,bb815f32-86b3-4175-9d5e-f03e26ef988c
11,1,0.011693700490381,3.07804727554321,0.762613534927368,0.114990472793579,0.418357133865356,0.413151264190674,0.075386047363281,2.05083465576172,0.000110387802124,-2.1032064978499E-12,-2.35900188272353E-12,242,242,0,293,3,115340,20,74,132396,18543,17056,21,281,5109,241,290,5abcd7bd-27b6-42a1-a195-2ebcd151e76f,0.610334396362305,0.516142845153809,0,627,8,238940,20,198,250420,6347,11480,21,368,1927,240,611,,c2823221-94ba-4dbe-a195-418482c1fc84
