size,time,connectivity,t_bqm,t_sim,t_quant,t_one_start,t_precedence,t_share_machine,t_remove_absurd_times,t_stitcher,t_edit_bqm,tabu_sol,sim_sol,quant_sol,num_var,num_var_jobs,num_var_aux,qubits,max_chain,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_id
2,1,0.35,0.1856236457824707,0.28931283950805664,0.06872439384460449,0.0003428459167480469,0.0008912086486816406,0.0006368160247802734,7.557868957519531e-05,0.18359136581420898,3.075599670410156e-05,,2.7594204254910437e-07,2.7594204077274753e-07,16,16,0,20,2,104100,20,63,121177,18590,17077,21,126,442,0b37dc12-5cb2-45d7-a414-98104eb19da3
3,1,0.18095238095238095,0.3841373920440674,0.642423152923584,0.2741997241973877,0.0006699562072753906,0.0036096572875976562,0.0032567977905273438,0.00038695335388183594,0.3760406970977783,4.291534423828125e-05,,9.460871552846584e-07,0.37500082782611344,36,36,0,63,3,86240,20,45,103314,18403,17074,21,504,2324,fefd8465-37d6-4fec-a536-b8c74ae4e3dc
4,1,0.1111111111111111,0.8739409446716309,1.181300163269043,0.6401407718658447,0.001379251480102539,0.009302616119384766,0.009993791580200195,0.01528787612915039,0.8376846313476562,6.222724914550781e-05,,1.9710135461536993e-06,1.6000024046371522,64,64,0,175,6,112100,20,71,129155,12348,17055,21,225,3192,6761e07a-ab49-44ea-b3ab-508b5fb9ef57
5,1,0.07474747474747474,1.5066440105438232,1.821913242340088,1.3327546119689941,0.0028166770935058594,0.034417152404785156,0.0236358642578125,0.0035860538482666016,1.4417071342468262,7.796287536621094e-05,,0.05555896540840877,10.444448445602923,100,100,0,313,7,105860,20,65,122909,19291,17049,21,254,5382,bd238d6f-d266-452d-b984-febd8c0a8d56
6,1,0.053613053613053616,2.4754767417907715,2.630434036254883,2.002776861190796,0.006051301956176758,0.03769397735595703,0.1449875831604004,0.008440971374511719,2.2774102687835693,0.0001125335693359375,,0.24490312324087427,16.897965214976345,144,144,0,411,5,121860,20,81,138888,13289,17028,21,311,5104,7a91210b-8021-456a-913c-b394474ef835
7,1,0.040293040293040296,3.4745988845825195,3.570701837539673,6.290212869644165,0.013442516326904297,0.1882476806640625,0.09168457984924316,0.013067245483398438,3.166685104370117,0.00013637542724609375,,0.2187575489867868,27.281258888598998,196,196,0,688,10,124940,20,84,141927,14467,16987,21,315,7811,11f2d2ff-4f67-46d8-996b-0de2e3123075
8,1,0.03137254901960784,4.6619226932525635,4.737882614135742,4.513296365737915,0.032550811767578125,0.10752153396606445,0.14795160293579102,0.024280309677124023,4.3473381996154785,0.00018095970153808594,,0.5926027630255248,44.567913079687884,256,256,0,857,7,139060,20,98,156046,20544,16986,21,132,8312,57f1a827-76da-410f-8c2b-2ad8b47d6f4e
9,1,0.025111799105607156,6.554917097091675,5.951971769332886,5.767851114273071,0.07946109771728516,0.15571951866149902,0.4122488498687744,0.04036235809326172,5.862720012664795,0.0002627372741699219,,1.060013186084916,53.020016241155886,324,324,0,1134,8,156020,20,115,172964,20958,16944,21,295,12221,100e92c6-bbbd-49e8-8ee0-888dd1492e8c
10,1,0.02055137844611529,7.961532115936279,7.295721769332886,19.524593353271484,0.19463610649108887,0.2236638069152832,0.5356500148773193,0.06759858131408691,6.935144662857056,0.00025534629821777344,,1.3223307440769076,76.72729316567714,400,400,0,1913,14,145900,20,105,162743,22482,16843,21,545,13713,b4613bcb-a77e-4a24-b865-1465530870de
11,1,0.017127799736495388,10.44605827331543,8.921907901763916,11.115148544311523,0.4720578193664551,0.3180656433105469,0.69297194480896,0.08491873741149902,8.870702981948853,0.0003161430358886719,,3.3611313337328284,81.0000258202846,484,484,0,2022,9,148780,20,108,165619,15919,16839,21,298,11431,8b38af34-32a7-4efa-875c-0013e3eb6d85
12,1,0.014492753623188406,14.049039363861084,10.675286054611206,10.44008183479309,1.1445257663726807,0.44692373275756836,1.04044508934021,0.41624879837036133,10.990448713302612,0.0004267692565917969,,5.550320239521625,120.94677619040533,576,576,0,2209,9,151180,20,110,168000,22569,16820,21,185,14489,4d2273a7-31fc-49c2-ac67-950ddde9742e
13,1,0.012421652421652421,18.13103222846985,12.94619369506836,21.20423173904419,2.793137788772583,0.836930513381958,1.216493844985962,0.17162728309631348,13.098749876022339,0.0004489421844482422,,5.183702325136437,176.7347334148229,676,676,0,3827,23,168480,20,127,185014,18097,16534,21,359,19721,f0cbebff-4575-4b6f-8ba9-dbb597865e80
14,1,0.01076445904032111,24.978220462799072,14.668364524841309,29.248608350753784,6.61590313911438,1.1000289916992188,1.6041326522827148,0.23560094833374023,15.403960943222046,0.0005307197570800781,,11.608923421188592,204.6844898152568,784,784,0,3827,21,168660,20,128,185195,17030,16535,21,383,20989,d33d0989-4ebe-4c9e-861e-2f58e1c57f6f
15,1,0.009417871709306637,36.44545030593872,17.00971221923828,72.18453478813171,15.404037475585938,1.2728867530822754,1.9472019672393799,0.7057316303253174,17.091267824172974,0.0006434917449951172,,17.625039834294512,231.1406752375452,900,900,0,4186,35,169520,20,128,185953,22722,16433,21,409,19210,43c9065d-d72f-4222-992b-44f6aeb8e17c
